train_loss,val_loss,train_acc,val_acc
0.20845082709111543,0.2324066376759413,0.931899641577061,0.9736575481256333
0.01728406365006967,7.974427745938905,0.9953917050691244,0.33941236068895647
0.08637668459310888,0.003158882362480849,0.9810547875064004,0.9989868287740629
0.09419594905288757,0.019164029389876058,0.9759344598054276,0.9959473150962513
0.0052674250977793385,0.00477675597031459,0.9979518689196109,0.9969604863221885
0.0010745603664748886,0.00023353026980143705,1.0,1.0
0.0005612092047844941,0.00013791894790277437,1.0,1.0
0.03772141729760338,445.29924999109517,0.9897593445980543,0.17426545086119555
0.08436098466054238,0.011100993234174334,0.9874551971326165,0.993920972644377
0.01683994117810952,0.004908586938561008,0.9948796722990272,0.9979736575481257
